Writing Counter to a file:
Links  = 2304
Nodes  = 48
C_In   = 0
C_Out  = 0
Graphs = 0
Live_Graphs  = 0
Virgin_Nodes = 0
TSP_Cost_Out = 0
TSP_Cost_In  = 0
Sort = 0
Writing Counter to a file:
Links  = 2304
Nodes  = 48
C_In   = 0
C_Out  = 0
Graphs = 0
Live_Graphs  = 0
Virgin_Nodes = 0
TSP_Cost_Out = 0
TSP_Cost_In  = 0
Sort = 0
***********************************************************
          L I N K     A R R A Y    D A T A 
***********************************************************
    From_Node    To_Node     Length 
    ==========  ==========  ========== 
         1           1  1.84467e+19
         2           1         273
         1           2         273
         2           2  1.84467e+19
         3           1        1272
         1           3        1272
         3           2         999
         2           3         999
         3           3  1.84467e+19
         4           1         744
         1           4         744
         4           2         809
         2           4         809
         4           3        1519
         3           4        1519
         4           4  1.84467e+19
         5           1        1138
         1           5        1138
         5           2         866
         2           5         866
         5           3         140
         3           5         140
         5           4        1425
         4           5        1425
         5           5  1.84467e+19
         6           1        1972
         1           6        1972
         6           2        1722
         2           6        1722
         6           3         937
         3           6         937
         6           4        1861
         4           6        1861
         6           5        1052
         5           6        1052
         6           6  1.84467e+19
         7           1        1580
         1           7        1580
         7           2        1338
         2           7        1338
         7           3         697
         3           7         697
         7           4        1473
         4           7        1473
         7           5         776
         5           7         776
         7           6         400
         6           7         400
         7           7  1.84467e+19
         8           1        1878
         1           8        1878
         8           2        1640
         2           8        1640
         8           3         951
         3           8         951
         8           4        1713
         4           8        1713
         8           5        1049
         5           8        1049
         8           6         182
         6           8         182
         8           7         304
         7           8         304
         8           8  1.84467e+19
         9           1        1539
         1           9        1539
         9           2        1226
         2           9        1226
         9           3         267
         3           9         267
         9           4        1761
         4           9        1761
         9           5         402
         5           9         402
         9           6         820
         6           9         820
         9           7         699
         7           9         699
         9           8         884
         8           9         884
         9           9  1.84467e+19
        10           1        1457
         1          10        1457
        10           2        1185
         2          10        1185
        10           3         227
         3          10         227
        10           4        1617
         4          10        1617
        10           5         361
         5          10         361
        10           6         721
         6          10         721
        10           7         538
         7          10         538
        10           8         755
         8          10         755
        10           9         177
         9          10         177
        10          10  1.84467e+19
        11           1         429
         1          11         429
        11           2         440
         2          11         440
        11           3        1229
         3          11        1229
        11           4         370
         4          11         370
        11           5        1119
         5          11        1119
        11           6        1735
         6          11        1735
        11           7        1335
         7          11        1335
        11           8        1612
         8          11        1612
        11           9        1486
         9          11        1486
        11          10        1362
        10          11        1362
        11          11  1.84467e+19
        12           1        1129
         1          12        1129
        12           2         894
         2          12         894
        12           3         587
         3          12         587
        12           4        1073
         4          12        1073
        12           5         578
         5          12         578
        12           6         851
         6          12         851
        12           7         454
         7          12         454
        12           8         749
         8          12         749
        12           9         757
         9          12         757
        12          10         587
        10          12         587
        12          11         891
        11          12         891
        12          12  1.84467e+19
        13           1        1251
         1          13        1251
        13           2         992
         2          13         992
        13           3         369
         3          13         369
        13           4        1304
         4          13        1304
        13           5         406
         5          13         406
        13           6         740
         6          13         740
        13           7         393
         7          13         393
        13           8         690
         8          13         690
        13           9         506
         9          13         506
        13          10         335
        10          13         335
        13          11        1082
        11          13        1082
        13          12         252
        12          13         252
        13          13  1.84467e+19
        14           1        1421
         1          14        1421
        14           2        1173
         2          14        1173
        14           3         554
         3          14         554
        14           4        1369
         4          14        1369
        14           5         618
         5          14         618
        14           6         551
         6          14         551
        14           7         173
         7          14         173
        14           8         476
         8          14         476
        14           9         609
         9          14         609
        14          10         435
        10          14         435
        14          11        1199
        11          14        1199
        14          12         308
        12          14         308
        14          13         222
        13          14         222
        14          14  1.84467e+19
        15           1         588
         1          15         588
        15           2         334
         2          15         334
        15           3         721
         3          15         721
        15           4        1092
         4          15        1092
        15           5         581
         5          15         581
        15           6        1551
         6          15        1551
        15           7        1198
         7          15        1198
        15           8        1501
         8          15        1501
        15           9         981
         9          15         981
        15          10         930
        10          15         930
        15          11         726
        11          15         726
        15          12         803
        12          15         803
        15          13         814
        13          15         814
        15          14        1025
        14          15        1025
        15          15  1.84467e+19
        16           1         334
         1          16         334
        16           2         358
         2          16         358
        16           3        1212
         3          16        1212
        16           4         453
         4          16         453
        16           5        1095
         5          16        1095
        16           6        1769
         6          16        1769
        16           7        1370
         7          16        1370
        16           8        1654
         8          16        1654
        16           9        1474
         9          16        1474
        16          10        1358
