C_incident,From,Node,To,C_Outgoing
13,29,1,66,21
7,66,2,3,20
20,2,3,6,19
8,71,4,5,30
30,4,5,6,16
16,5,6,3,26
31,28,7,8,14
5,9,8,10,28
20,5,9,8,5
28,8,10,12,34
31,12,11,8,34
34,10,12,11,31
21,15,13,14,42
20,15,14,28,11
7,67,15,14,20
37,15,16,17,11
11,16,17,19,35
6,65,18,67,20
29,18,19,22,18
25,19,20,17,21
62,20,21,22,9
9,21,22,23,12
12,22,23,18,29
46,21,24,20,104
24,65,25,27,20
24,65,26,28,19
19,33,27,23,18
11,14,28,7,31
13,1,29,65,23
7,31,30,32,16
7,30,31,32,9
9,31,32,30,16
19,34,33,27,19
27,61,34,36,17
29,34,35,36,12
17,34,36,35,12
30,39,37,38,10
10,37,38,64,14
19,38,39,37,30
22,48,40,41,36
17,64,41,69,22
12,43,42,38,34
20,44,43,42,12
8,45,44,43,20
9,66,45,44,8
18,45,46,54,7
14,69,47,63,9
17,50,48,40,22
15,50,49,52,41
26,68,50,49,15
9,52,51,68,16
32,55,52,51,9
28,51,53,47,15
7,46,54,45,17
30,51,55,56,26
26,55,56,57,34
18,58,57,71,14
27,71,58,57,18
29,58,59,62,32
22,9,60,8,27
56,35,61,34,27
32,59,62,58,29
9,47,63,50,29
14,38,64,41,17
6,18,65,29,23
9,45,66,2,7
20,18,67,15,7
16,51,68,50,26
22,41,69,47,14
18,36,70,42,12
14,57,71,4,8
