Writing Counter to a file:
Links  = 3306
Nodes  = 58
C_In   = 0
C_Out  = 0
Graphs = 0
Live_Graphs  = 0
Virgin_Nodes = 0
TSP_Cost_Out = 0
TSP_Cost_In  = 0
Sort = 0
Writing Counter to a file:
Links  = 3306
Nodes  = 58
C_In   = 0
C_Out  = 0
Graphs = 0
Live_Graphs  = 0
Virgin_Nodes = 0
TSP_Cost_Out = 0
TSP_Cost_In  = 0
Sort = 0
***********************************************************
          L I N K     A R R A Y    D A T A 
***********************************************************
    From_Node    To_Node     Length 
    ==========  ==========  ========== 
         1           2        2635
         2           1        2635
         1           3        2713
         3           1        2713
         1           4        2437
         4           1        2437
         1           5        1600
         5           1        1600
         1           6        2845
         6           1        2845
         1           7        6002
         7           1        6002
         1           8        1743
         8           1        1743
         1           9         594
         9           1         594
         1          10        2182
        10           1        2182
         1          11        2906
        11           1        2906
         1          12        1658
        12           1        1658
         1          13         464
        13           1         464
         1          14        3334
        14           1        3334
         1          15        3987
        15           1        3987
         1          16        2870
        16           1        2870
         1          17        2601
        17           1        2601
         1          18         330
        18           1         330
         1          19        3049
        19           1        3049
         1          20        1302
        20           1        1302
         1          21        3399
        21           1        3399
         1          22        1946
        22           1        1946
         1          23        1278
        23           1        1278
         1          24         669
        24           1         669
         1          25         627
        25           1         627
         1          26        2878
        26           1        2878
         1          27        1737
        27           1        1737
         1          28        3124
        28           1        3124
         1          29        2878
        29           1        2878
         1          30         307
        30           1         307
         1          31        5217
        31           1        5217
         1          32         799
        32           1         799
         1          33        3305
        33           1        3305
         1          34        3716
        34           1        3716
         1          35        2251
        35           1        2251
         1          36        2878
        36           1        2878
         1          37        3467
        37           1        3467
         1          38        4316
        38           1        4316
         1          39        2963
        39           1        2963
         1          40         512
        40           1         512
         1          41        2515
        41           1        2515
         1          42        4850
        42           1        4850
         1          43        1937
        43           1        1937
         1          44         367
        44           1         367
         1          45        3601
        45           1        3601
         1          46        3936
        46           1        3936
         1          47        2430
        47           1        2430
         1          48        2691
        48           1        2691
         1          49        2087
        49           1        2087
         1          50        1861
        50           1        1861
         1          51        2358
        51           1        2358
         1          52        2263
        52           1        2263
         1          53        1425
        53           1        1425
         1          54        2266
        54           1        2266
         1          55        2166
        55           1        2166
         1          56        3870
        56           1        3870
         1          57        1417
        57           1        1417
         1          58         739
        58           1         739
         2           3         314
         3           2         314
         2           4        2636
         4           2        2636
         2           5         666
         5           2         666
         2           6        1096
         6           2        1096
         2           7        4645
         7           2        4645
         2           8         693
         8           2         693
         2           9        2889
         9           2        2889
         2          10         287
        10           2         287
         2          11         772
        11           2         772
         2          12        1135
        12           2        1135
         2          13        2875
        13           2        2875
         2          14        1424
        14           2        1424
         2          15        2185
        15           2        2185
